Row Labels,ratio,angle
4.39-4.61,,330
0.21-0.43,0.030454735,360
0.43-0.65,0.155193992,360
0.65-0.87,0.255736337,360
0.87-1.09,0.208594076,360
1.09-1.31,0.149770547,360
1.31-1.53,0.110972048,360
1.53-1.75,0.050479766,360
1.75-1.97,0.019190655,360
1.97-2.19,0.01126408,360
2.19-2.41,0.00458907,360
2.41-2.63,0.002085941,360
2.63-2.85,0.001251564,360
2.85-3.07,0.000417188,360
3.07-3.29,,360
3.29-3.51,,360
3.51-3.73,,360
3.73-3.95,,360
4.39-4.61,,360
